鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩七街５２８號十八樓之６,8.26,商,,,1110101,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101029,105.78999999999999,2,2,1,有,有,14400000,136119,坡道平面,23.98,0,,RPOPMLKMLHHGFCB07DA,43.91,4.69,4.62,有,061
西屯區,房地(土地+建物),臺中市西屯區福順路８７２號五樓之３,5.89,住,,,1110315,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830412,26.87,0,0,0,無,有,1700000,63268,,0.0,0,,RPPPMLKMLHHGFCB17DA,14.73,0.0,2.87,有,
西屯區,房地(土地+建物),臺中市西屯區文心路三段６號十四樓之６,5.27,商,,,1110223,土地1建物1車位0,十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.489999999999995,1,1,1,有,有,6450000,110275,,0.0,0,,RPQPMLOLLHHGFCB57DA,36.14,0.79,2.68,有,062
南屯區,房地(土地+建物),臺中市南屯區嶺東路９１６之３號八樓之６,6.59,住,,,1110302,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810115,39.27,1,0,1,有,有,2400000,61115,,0.0,0,,RPVPMLKMLHHGFCB77DA,27.14,0.0,2.87,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區朝馬路１６８號二十八樓之３,11.73,商,,,1110303,土地1建物1車位1,二十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060116,190.39999999999998,3,2,2,有,有,24800000,131273,坡道平面,18.62,2250000,,RPPQMLKMLHHGFCB27DA,95.14,5.54,13.03,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠中三街２１號四樓之１,10.48,都市：其他:第六種新市政中心專用區,,,1110218,土地1建物1車位2,四層,三十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020207,191.29,4,2,3,有,有,25000000,130692,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQSMLKMLHHGFCB57DA,94.94,3.06,12.83,有,
西屯區,土地,民安段2031地號,183.53,住,,,1110304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24983000,136125,,0.0,0,,RPVOMLLMLHHGFCB77DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段７６７號九樓之３,23.61,住,,,1110304,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810331,226.64,0,0,0,無,有,13380000,59036,坡道機械,0.0,0,,RPRPMLLMLHHGFCB47DA,142.15,0.0,0.0,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區三厝街５３號,84.62,住,,,1110224,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0960724,305.43,4,2,4,有,有,31000000,101496,坡道平面,29.09,0,含傢俱設備費；,RPTQMLNLLHHGFCB87DA,210.39,6.39,21.13,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區三和街６５號十四樓之１,19.01,住,,,1110312,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960918,191.82,3,2,2,有,有,21000000,109478,坡道平面,24.75,0,陽台外推；,RPXNMLLLLHHGFCB77DA,102.52,3.13,14.05,有,
