鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新興區,房地(土地+建物),高雄市新興區復興一路６３號１３樓之９,6.8,商,,,1110221,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830407,85.25999999999999,2,1,1,有,有,5480000,64274,,0.0,0,含傢俱設備費；陽台外推；,RPXNMLLKLHHGFBE87DA,52.04,1.03,4.98,有,
苓雅區,房地(土地+建物),高雄市苓雅區中正一路２５８號２樓,7.67,商,,,1110304,土地1建物1車位0,二層，電梯樓梯間,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0811118,88.47,2,0,2,有,有,4400000,49734,,0.0,0,其他增建:天井含傢俱設備費；陽台外推；其他增建；,RPUPMLPKLHHGFBE18DA,69.28,1.01,6.91,有,147
苓雅區,房地(土地+建物),高雄市苓雅區新光路６２巷１２號１５樓之３,4.02,都市：其他:第三種特定商業專用區,,,1110127,土地1建物1車位0,十五層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,94.72,3,1,1,有,有,4020000,42441,,0.0,0,,RPVNMLRKLHHGFBE28DA,59.7,3.03,10.68,有,
苓雅區,房地(土地+建物),高雄市苓雅區自強三路１２０巷１４號,22.33,商,,,1110328,土地2建物1車位0,全,二層,透天厝,,加強磚造,0540401,24.81,3,2,2,有,無,2200000,88674,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLSLLHHGFBE97DA,24.81,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區中正二路１７１號,34.55,住,,,1100907,土地2建物1車位0,一層，二層,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土,1101014,372.24,0,0,0,無,有,62000000,166559,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQPMLSLLHHGFBE18DA,242.62,0.84,23.58,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路６２巷１５號１０樓之３,5.94,都市：其他:第三種特定商業專用區,,,1110307,土地1建物1車位1,十層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,150.26999999999998,3,2,2,有,有,7700000,51241,坡道平面,12.65,0,,RPSOMLPKLHHGFBE87DA,90.15,2.9,9.28,有,148
苓雅區,房地(土地+建物),高雄市苓雅區凱旋三路５１９號,103.0,住,,,1110301,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0641116,203.4,5,2,3,有,無,25000000,122911,,0.0,0,頂樓加蓋；其他增建；,RPQOMLTLLHHGFBE18DA,203.4,0.0,0.0,無,
新興區,房地(土地+建物),高雄市新興區七賢二路５５號十五樓之８,5.19,商,,,1110306,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,79.38,2,1,1,有,有,7300000,91963,,0.0,0,含傢俱設備費；,RPXPMLKMLHHGFBE18DA,46.41,1.95,3.23,有,149
苓雅區,房地(土地+建物),高雄市苓雅區三多二路９號五樓之２,7.02,都市：其他:第二種特定商業專用區,,,1110122,土地2建物1車位0,五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100825,72.72999999999999,2,2,1,有,有,6250000,85934,,0.0,0,,RPXQMLKMLHHGFBE28DA,40.42,3.34,2.9,有,150
苓雅區,房地(土地+建物),高雄市苓雅區正順街４１號三樓,15.01,住,,,1110224,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700601,80.53,3,2,2,有,無,3550000,44083,,0.0,0,未登記建物；,RPTRMLKMLHHGFBE97DA,80.53,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區廣東二街１２３巷２號,11.0,都市：其他:道路用地,,,1110310,土地2建物1車位0,全,二層,透天厝,,加強磚造,0560826,70.58,2,1,2,有,無,3050000,43213,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPNMLTLLHHGFBE97DA,70.58,0.0,0.0,無,
前鎮區,建物,高雄市前鎮區廣西路２０１號十二樓之６,0.0,,,,1101201,土地0建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7320000,51769,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值220萬元地上權房屋；,RPTQMLQKKHHGFCE28DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０１號三樓之２,0.0,,,,1101017,土地0建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7560000,52934,坡道平面,24.86,1200000,房地交易總價內含地上權權利價值227萬元地上權房屋；,RPWPMLQKKHHGFCE48DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路１９９號十六樓之１,0.0,,,,1101118,土地0建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,107.99,2,2,1,有,有,5680000,55094,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值170萬元地上權房屋；,RPXPMLQKKHHGFCE58DA,47.19,4.45,2.62,有,
苓雅區,房地(土地+建物),高雄市苓雅區昇平街１３９巷２０之３號,52.5,住,,,1110224,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0601129,64.05,2,1,1,有,無,1500000,23419,,0.0,0,,RPWPMLLMLHHGFBE18DA,64.05,0.0,0.0,無,
前鎮區,建物,高雄市前鎮區廣西路２０７號十四樓之５,0.0,,,,1101116,土地0建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6480000,53905,坡道平面,24.86,1200000,房地交易總價內含地上權權利價值194萬元地上權房屋；,RPSTMLQKKHHGFCE48DA,55.85,5.27,2.92,有,
前鎮區,建物,高雄市前鎮區廣西路２０９號十一樓之３,0.0,,,,1100922,土地0建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6430000,54416,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值193萬元地上權房屋；,RPUTMLQKKHHGFCE68DA,55.85,5.27,2.92,有,
前鎮區,建物,高雄市前鎮區廣西路１９９號十二樓之６,0.0,,,,1101021,土地0建物1車位2,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,169.87,3,2,2,有,有,8500000,52434,坡道平面,49.72,2200000,房地交易總價內含地上權權利價值254萬元地上權房屋；,RPOOMLRKKHHGFCE67DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號十四樓之２,0.0,,,,1101001,土地0建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7400000,52434,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值222萬元地上權房屋；,RPSSMLQKKHHGFCE38DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號十五樓之２,0.0,,,,1100908,土地0建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7380000,52684,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值221萬元地上權房屋；,RPUSMLQKKHHGFCE58DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號九樓之３,0.0,,,,1100919,土地0建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6170000,52272,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值185萬元地上權房屋；,RPVSMLQKKHHGFCE68DA,55.85,5.27,2.92,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號四樓之２,0.0,,,,1101119,土地0建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7000000,49105,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值210萬元地上權房屋；,RPOSMLQKKHHGFCE97DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號六樓之２,0.0,,,,1101108,土地0建物1車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7180000,51020,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值215萬元地上權房屋；,RPPSMLQKKHHGFCE08DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０５號十二樓之２,0.0,,,,1100911,土地0建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7230000,51020,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值217萬元地上權房屋；,RPWQMLQKKHHGFCE58DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０５號十一樓之５,0.0,,,,1101110,土地0建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6380000,53905,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值191萬元地上權房屋；,RPQRMLQKKHHGFCE08DA,55.85,5.27,2.92,有,
前鎮區,建物,高雄市前鎮區廣西路２０５號十五樓之３,0.0,,,,1101017,土地0建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6380000,54416,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值191萬元地上權房屋；,RPTRMLQKKHHGFCE38DA,55.85,5.27,2.92,有,
前鎮區,建物,高雄市前鎮區廣西路２０９號二樓之２,0.0,,,,1101001,土地0建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,143.25,3,2,2,有,有,7500000,54059,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值225萬元地上權房屋；,RPURMLQKKHHGFCE48DA,70.97,0.66,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０９號十四樓之２,0.0,,,,1101110,土地0建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7500000,52434,坡道平面,24.86,1200000,房地交易總價內含地上權權利價值225萬元地上權房屋；,RPWRMLQKKHHGFCE68DA,70.97,2.42,3.5,有,
前鎮區,建物,高雄市前鎮區廣西路２０７號十四樓之３,0.0,,,,1100925,土地0建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6430000,53395,坡道平面,24.86,1200000,房地交易總價內含地上權權利價值193萬元地上權房屋；,RPPTMLQKKHHGFCE18DA,55.85,5.27,2.92,有,
小港區,房地(土地+建物),高雄市小港區店鳳街１１４號四樓,34.15,住,,,1110301,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731018,99.27,4,2,2,有,無,3200000,32235,,0.0,0,,RPWOMLLJLHHGFCE87DA,94.72,0.0,4.55,無,
