鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１２３巷３４弄２３號七樓,15.66,商,,,1110306,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970429,159.47,3,2,2,有,有,33800000,211549,坡道機械,9.15,2000000,陽台外推；,RPVQMLPKLHHGFCA08DA,71.9,4.11,13.65,有,
中山區,車位,臺北市中山區長安東路二段９９號地下一層,0.27,商,,,1110319,土地2建物1車位1,地下一層,十一層,其他,停車空間,鋼筋混凝土造,0810818,53.82,0,0,0,有,有,3100000,,坡道平面,53.82,3100000,僅車位交易；,RPXUMLLMLHHGFCA48DA,0.0,0.0,0.0,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷１５弄３０號五樓之４,14.63,住,,,1110228,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0941123,119.63,3,2,2,有,有,18500000,217096,坡道平面,45.93,2500000,,RPOVMLLMLHHGFCA67DA,43.19,2.76,4.04,有,089
中山區,房地(土地+建物),臺北市中山區長春路２０號八樓之５、八樓之６、八樓之７,16.36,商,,,1110213,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0640204,141.49,3,2,1,有,有,22500000,159022,,0.0,0,,RPUNMLLJMHHGFCA27DA,98.71,0.0,0.0,有,
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街２１４號四樓,10.7,住,,,1110301,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820729,42.019999999999996,1,1,1,有,有,7700000,183246,,0.0,0,陽台外推；,RPXSMLLMLHHGFCA28DA,26.53,0.0,4.71,有,090
內湖區,土地,舊宗段10-7地號,1309.43,工,,,1110315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,554540000,423497,,0.0,0,,RPSQMLKMLHHGFCA47DA,0.0,0.0,0.0,無,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０８號六樓,16.06,商,,,1110120,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,202.97,2,2,1,有,有,74000000,415210,坡道平面,34.26,3950000,,RPPNMLLMLHHGFCA96DA,91.53,5.55,8.97,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街９０號六樓,17.62,住,,,1110220,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,126.17,2,2,1,有,有,19060000,177336,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPVNMLLMLHHGFCA57DA,54.56,3.47,5.62,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街８６號九樓,23.79,住,,,1110223,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,160.01,3,2,2,有,有,25280000,179042,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPXNMLLMLHHGFCA77DA,72.94,3.06,9.88,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街９２號九樓,17.43,住,,,1110223,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,125.25,2,2,1,有,有,18970000,178117,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPOOMLLMLHHGFCA96DA,54.32,2.99,5.56,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街９０號九樓,17.62,住,,,1110221,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,126.17,2,2,1,有,有,19280000,179664,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPPOMLLMLHHGFCA07DA,54.56,3.47,5.62,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街８８號九樓,27.24,住,,,1110221,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,178.28,4,2,2,有,有,29300000,184150,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPQOMLLMLHHGFCA17DA,86.36,3.54,8.21,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區五分街８８號六樓,27.24,住,,,1110220,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110113,178.28,4,2,2,有,有,28620000,179512,坡道平面,31.66,2300000,預售屋、或土地及建物分件登記案件；,RPROMLLMLHHGFCA27DA,86.36,3.54,8.21,有,
內湖區,房地(土地+建物),臺北市內湖區環山路二段３０號二樓之１,43.11,住,,,1110303,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070928,68.19,2,2,1,有,有,16500000,241971,,0.0,0,,RPWRMLTLLHHGFCA78DA,38.69,0.0,4.22,有,091
中山區,房地(土地+建物),臺北市中山區中山北路二段２７巷１７號六樓之５,5.9,商,,,1110307,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660929,49.22,2,1,1,有,有,10780000,219017,,0.0,0,其他增建；,RPUSMLTLLHHGFCA68DA,35.1,0.0,0.0,有,092
中山區,房地(土地+建物),臺北市中山區建國北路二段１８８號十三樓之１,18.73,住,,,1110217,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750203,145.92,3,2,2,有,有,33500000,229578,,0.0,0,陽台外推；,RPQOMLKMLHHGFCA07DA,105.36,0.0,18.19,有,
信義區,車位,臺北市信義區永吉路３７３號,0.08,商,,,1110214,土地1建物1車位1,一層,十四層,其他,一般事務所（Ｇ２）辦公室,鋼筋混凝土造,1060905,33.91,0,0,0,有,有,2300000,,坡道平面,33.91,2300000,僅車位交易；,RPTNMLPKKHHGFDA57DA,0.0,0.0,0.0,有,093
中山區,土地,中山段一小段568地號,10.45,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,574163,,0.0,0,含土地增值稅或其他稅費；,RPUNMLQJMHHGFCA77DA,0.0,0.0,0.0,無,094
南港區,房地(土地+建物),臺北市南港區興華路１１５號五樓,24.73,商,,,1110228,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,121.67,5,0,5,有,無,22500000,184926,,0.0,0,含租約；,RPXOMLNJLHHGFDA87DA,121.67,0.0,0.0,無,095
信義區,房地(土地+建物),臺北市信義區松山路６７３之１號二樓,23.5,住,,,1110303,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840215,49.650000000000006,1,2,1,有,有,9800000,197382,,0.0,0,陽台外推；,RPPNMLPJLHHGFDA17DA,28.78,0.0,4.03,有,096
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７１號十三樓,23.12,商,,,1110308,土地2建物1車位3,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,310.86,3,2,2,有,有,79980000,374462,坡道平面,120.24,8600000,,RPUPMLLLLHHGFDA67DA,225.94,13.02,10.47,有,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７３號七樓之２,22.76,商,,,1110308,土地2建物1車位3,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,308.83,3,2,2,有,有,76980000,362586,坡道平面,120.24,8600000,,RPVPMLLLLHHGFDA77DA,227.63,10.0,10.34,有,
松山區,房地(土地+建物),臺北市松山區八德路三段２２５號七樓之１０,4.44,商,,,1110226,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0771223,49.66,1,1,1,有,有,13350000,268828,,0.0,0,陽台外推；其他增建；,RPORMLLLLHHGFDA27DA,29.62,0.0,7.57,有,097
信義區,房地(土地+建物),臺北市信義區福德街２２１巷３弄９號二樓,28.5,住,,,1110307,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,88.65,3,2,1,有,無,18500000,208686,,0.0,0,陽台外推；其他增建；,RPPOMLRKLHHGFDA57DA,88.65,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區信義路五段１１９號三樓,7.83,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110215,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,48.05,1,1,1,有,有,13680000,284763,,0.0,0,含土地增值稅或其他稅費；含仲介費；陽台外推；,RPSOMLSLLHHGFDA08DA,27.26,1.28,4.31,有,
松山區,房地(土地+建物)+車位,臺北市松山區寶清街１０號四樓之３,12.16,住,,,1110227,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850912,59.379999999999995,1,1,1,有,有,11740000,197710,升降機械,18.92,0,陽台外推；夾層；其他增建；,RPUOMLSLLHHGFDA28DA,24.84,1.1,2.05,有,
信義區,土地,永春段一小段500地號,125.45,都市：其他:道路用地(公共設施用地)。51/9/1,,,1100624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7714693,61496,,0.0,0,包含公共設施保留地用地；,RPQPMLSLLHHGFDA97DA,0.0,0.0,0.0,無,
信義區,土地,永春段一小段548地號,109.73,都市：其他:道路用地(公共設施用地)。51/9/1,,,1100624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6629887,60420,,0.0,0,包含公共設施保留地用地；,RPRPMLSLLHHGFDA08DA,0.0,0.0,0.0,無,
信義區,房地(土地+建物)+車位,臺北市信義區松德路１５９號十二樓,21.18,住,,,1110218,土地1建物2車位1,十二層,三十層,住宅大樓(11層含以上有電梯),商業用,鋼骨造,0820524,325.02,5,1,2,有,有,76000000,233832,坡道平面,0.0,3500000,台北市信義區松德路159號12樓:總價3682萬土地價格:28484859元、建物價格:8335141元；台北市信義區松德路159號12樓之1:總價3568萬土地價格:27677229元、建物價格:8002771元；台北市信義區松德路151號門牌房屋地下二、三、四層:總價350萬土地價格:2944136元、建物價格:555864元陽台外推；其他增建；,RPPNMLLMLHHGFDA07DA,229.17,15.38,23.6,有,
士林區,房地(土地+建物),臺北市士林區延平北路五段１３６巷２７弄８號,24.25,住,,,1110226,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600720,72.75,3,2,1,有,無,9680000,133058,,0.0,0,其他增建；,RPVPMLPKLHHGFEA18DA,72.75,0.0,0.0,無,
